label,kind,status,reason,n,coverage,minority_share,mean_cpvi,mean_cpvi_shuffled,corrected_mean_cpvi,corrected_ci,encoder_rho,twin_rho,admissible
y_binary_progress,binary,ok,,2597,1.0,0.32306507508663845,0.18576329767006838,-0.0008827474128285082,0.18664604508289692,"(0.15555130047566051, 0.21823481317016757)",0.842449404722285,0.6121694127393774,True
y_continuous_displacement,continuous,ok,,2597,1.0,,0.23948721999037992,-0.005567888758140361,0.24505510874852032,"(0.16798275912863783, 0.3214392417871494)",0.7241846404763577,,True
y_discrete_config,multiclass,ok,,2597,1.0,0.026954177897574125,0.11661069050209887,-0.0004905699129796447,0.11710126041507851,"(0.06620473844815267, 0.1812668303883063)",0.8534062280650765,0.5082455642702933,False
y_terminal_success,binary,ok,,2597,1.0,0.11436272622256449,0.05800180714667426,-0.0006352915772633986,0.05863709872393765,"(0.027271039473301326, 0.09835665421812516)",0.8230851253048581,0.3522135561951597,True
