condition,n_handoffs,agreement,null_mean,null_p95,p_value,n_perm,rotation_direction_agreement,n_rotations,rotation_flip_rate
C0,843,0.30723606168446027,0.3446298932384342,0.3570581257413998,1.0,2000,0.5138888888888888,504,0.5501058591167287
C1,576,0.3506944444444444,0.3064609375,0.3194444444444444,0.0004997501249375312,2000,0.9017341040462428,173,0.02426470588235294
