condition,n_episodes,n_handoffs,success_rate,success_ci,mean_steps,mean_collisions,mean_cpvi,cpvi_ci,mean_pvi,pvi_cpvi_gap,mean_control_cpvi,selectivity,mean_cpvi_sd
C0,20,843,0.3,"(0.1, 0.5)",42.15,3.85,0.21144267705200154,"(0.13101177724755522, 0.29662812571857955)",0.2915951138125451,0.08015243676054357,-0.0007315288859720676,0.2121742059379736,0.025537005890331154
C1,20,576,0.7,"(0.5, 0.85)",28.8,18.5,0.27667597676272226,"(0.193230610281686, 0.36803415415913215)",0.3442365200569532,0.06756054329423095,0.0022968408871484,0.2743791358755739,0.02680638095897938
