method,status,reason,n_traces_scored,n_traces_evaluated,n_traces_target_off_boundary,n_traces_not_evaluable,n_abstained,model_calls,top_k,step_accuracy,step_accuracy_ci,agent_accuracy,agent_accuracy_ci,top_k_accuracy,top_k_accuracy_ci,mrr,mrr_ci
schema_validity,ok,,182,150,32,0,0,0,3,0.006666666666666667,"(0.0, 0.04)",0.32666666666666666,"(0.26, 0.4066666666666666)",0.21333333333333335,"(0.15333333333333332, 0.2866666666666667)",0.22471508439900884,"(0.2029790300648174, 0.24821752389612634)"
mean_cosine,ok,,182,150,32,0,0,0,3,0.2733333333333333,"(0.20666666666666667, 0.3466666666666667)",0.36666666666666664,"(0.29333333333333333, 0.44666666666666666)",0.5266666666666666,"(0.44666666666666666, 0.6066666666666667)",0.4475080897865928,"(0.3922061200459157, 0.5091368307092675)"
cpvi_transfer,ok,,182,150,32,0,0,0,3,0.15333333333333332,"(0.1, 0.21999999999999997)",0.2866666666666667,"(0.22, 0.36666666666666664)",0.38,"(0.30666666666666664, 0.46)",0.32895707400961205,"(0.2840887071841393, 0.38539118137828876)"
cpvi_refit,not_applicable,trace-outcome labels are single-class (1) on this corpus; nothing to fit,0,0,0,0,0,0,3,,,,,,,,
