label,kind,status,reason,n,coverage,minority_share,mean_cpvi,mean_cpvi_shuffled,corrected_mean_cpvi,corrected_ci,encoder_rho,twin_rho,admissible
y_binary_progress,binary,ok,,3419,1.0,0.36677391050014624,0.12837053728190156,-0.003407805931403222,0.13177834321330478,"(0.08462773272019662, 0.16891052006886748)",0.815850730361933,0.4819627894094126,True
y_continuous_displacement,continuous,ok,,3419,1.0,,0.30071023970648914,0.030114306726494722,0.2705959329799944,"(0.20517698761358474, 0.34210771849947386)",0.5963038036315595,,True
y_discrete_config,multiclass,ok,,3419,1.0,0.03305059959052355,0.16633576220667917,0.04692394045354544,0.11941182175313372,"(0.08100680312366144, 0.16617092897370764)",0.8924516177157148,0.6084506343510553,False
y_terminal_success,binary,ok,,3419,1.0,0.2102954080140392,0.1845623993236741,0.12774594156707594,0.05681645775659813,"(0.03142314752296439, 0.08377178299580733)",0.9028807668663074,0.6052502064728328,True
