key,n,declared_orientation,spearman_cpvi,spearman_ci,spearman_shuffled,spearman_shuffled_ci,spearman_corrected,spearman_corrected_ci,auroc_low_cpvi,auroc_failure
info,3419,-1.0,0.33116821943857566,"(0.24512611754142052, 0.39879469017921276)",0.05599543103548393,"(-0.049015205208386294, 0.16389822779872454)",0.27517278840309173,"(0.14976636779052008, 0.3837212901616409)",0.4137001226028949,0.14290578478339255
fail,3419,-1.0,-0.3264959735870741,"(-0.3923981722236082, -0.24209159754451637)",-0.051544254986954266,"(-0.15502001587828024, 0.0477988242705273)",-0.27495171860011985,"(-0.3785795618712464, -0.15528083487843494)",0.5875477509604804,0.906285478802864
cosine,3419,-1.0,0.36893484072670846,"(0.28303221324471917, 0.4448412088466223)",0.10022324809879397,"(-0.0014158392629032676, 0.21686773666505385)",0.2687115926279145,"(0.1471703914259375, 0.3705873655276116)",0.4288084036229292,0.23353113892752278
