condition,n_handoffs,agreement,null_mean,null_p95,p_value,n_perm,rotation_direction_agreement,n_rotations,rotation_flip_rate
C0,803,0.3300124533001245,0.3138505603985056,0.3312577833125778,0.06946526736631684,2000,0.5275229357798165,436,0.5592789365358015
C1,1000,0.046,0.04419750000000001,0.046,0.07446276861569215,2000,0.5111111111111111,90,0.0
C3,926,0.2613390928725702,0.3272618790496761,0.34233261339092874,1.0,2000,0.42984014209591476,563,0.5698615194623862
C4,690,0.39855072463768115,0.37343695652173914,0.3884057971014493,0.00399800099950025,2000,0.6141732283464567,381,0.44531650624254154
