condition,n_handoffs,median_cpvi,low_cpvi_no_progress,low_cpvi_progress,high_cpvi_no_progress,high_cpvi_progress,absent_signal_rate,absent_signal_ci,unused_signal_rate,unused_signal_ci
C0,803,0.3624850995499001,328,74,215,186,0.40846824408468246,"(0.31263862479853677, 0.49791792554364034)",0.26774595267745954,"(0.16902294483457359, 0.3908993795085555)"
C1,1000,0.05074104366627732,274,226,283,217,0.274,"(0.123975, 0.434)",0.283,"(0.156975, 0.412)"
C3,926,0.18696823170159899,407,56,299,164,0.43952483801295894,"(0.3459784226190476, 0.5279534966395235)",0.3228941684665227,"(0.20521032688748395, 0.4518246673783424)"
C4,690,0.3216263645173133,253,92,106,239,0.36666666666666664,"(0.30433238087883235, 0.41951415632577377)",0.1536231884057971,"(0.1210178241216355, 0.18795162807490948)"
