condition,n_episodes,n_handoffs,success_rate,success_ci,mean_steps,mean_collisions,mean_cpvi,cpvi_ci,mean_pvi,pvi_cpvi_gap,mean_control_cpvi,selectivity,mean_cpvi_sd
C0,20,803,0.45,"(0.25, 0.7)",40.15,3.75,0.2215276438822729,"(0.16527183824166358, 0.27780871382157984)",0.30502768463022173,0.08350004074794884,-0.0009218314150741839,0.22244947529734707,0.03577757054883418
C1,20,1000,0.0,"(0.0, 0.0)",50.0,44.3,-0.023302997168946044,"(-0.15707809667121647, 0.06042799508746286)",-0.027020525388955233,-0.003717528220009189,0.007344830723518572,-0.030647827892464615,0.07508707622519942
C3,20,926,0.15,"(0.05, 0.35)",46.3,2.1,0.14330460829385755,"(0.1039381193368458, 0.18552866032874446)",0.262191850623042,0.11888724232918446,-0.001496225379701657,0.1448008336735592,0.039061913024834125
C4,20,690,0.7,"(0.45, 0.8585884075695048)",34.5,8.55,0.23673120082049293,"(0.20035534376062353, 0.278199073200564)",0.301371065775164,0.06463986495467106,0.0012020326680837743,0.23552916815240915,0.05529667903823899
