condition,n,coverage,directive_agreement,obedience,receiver_agreement
C0,387,0.49564134495641343,0.5142118863049095,0.8113695090439277,0.48578811369509045
C1,0,0.0,,,
C3,503,0.5442764578833693,0.43538767395626243,0.7713717693836978,0.42147117296222664
C4,257,0.372463768115942,0.5875486381322957,0.8015564202334631,0.5603112840466926
